TRX_ID,MEMBER_NO,TRANSACTION_DATE,AUTHORIZATION_DATE,MERCHANT_NO,MERCHANT_NAME,CITY_NAME,NATIONAL_CODE,MCC,POS_MODE,PRODUCT_NAME,SETTLEMENT_AMOUNT,SALES_AMOUNT,TRX_TYPE,IS_FRAUD
T00000003,C000038,2023-01-01 01:59:41,2023-01-01 02:00:19,M17342,Cafe and restaraunts 770,WARSAW,PL,5812,ECOMMERCE,1308212001: Refund Transaction(Domestic),2616.92,2549.4,PURCHASE,1
T00000021,C000314,2023-01-01 06:27:07,2023-01-01 06:27:52,M66895,Transport 370,AKTAU,KZ,4816,0110 - Swipe,1308262001: Bill Payment Transaction(International),11.25,11.25,REFUND,1
T00000031,C000070,2023-01-01 09:28:12,2023-01-01 09:28:52,M69318,Digital Service 135,AKTAU,KZ,4816,0004 - Installment,1308132001: Credit Purchase Transaction(Domestic),86359.17,86359.17,REFUND,1
T00000248,C000028,2023-01-04 13:27:23,2023-01-04 13:28:12,M66051,Cafe and restaraunts 490,ROTTERDAM,NL,5812,ECOMMERCE,1308282001: Other Transaction(International),2085.58,2081.41,PURCHASE,1
T00000270,C000219,2023-01-04 19:01:32,2023-01-04 19:02:46,M78197,Hotel 737,MANCHESTER,GB,4816,0510 - Contactless - Magstripe,1308172001: Cash Withdrawal Transaction(Domestic),50.7,50.7,PURCHASE,1
T00000272,C000331,2023-01-04 19:25:55,2023-01-04 19:27:25,M98119,Online store 895,SINGAPORE,SGP,5999,ECOMMERCE,1308212001: Refund Transaction(Domestic),12648.53,12495.1,PURCHASE,1
T00000290,C000002,2023-01-05 01:10:05,2023-01-05 01:10:27,M70420,Digital Service 256,ATYRAU,KZ,4816,0720 - Contactless - VSDC magstripe,1308212001: Refund Transaction(Domestic),85.9,85.9,PURCHASE,1
T00000300,C000026,2023-01-05 04:28:38,2023-01-05 04:28:43,M76966,Supermarket 685,ROTTERDAM,NL,5411,0004 - Installment,1308212001: Refund Transaction(Domestic),54424.37,10758.59,PURCHASE,1
T00000303,C000287,2023-01-05 05:33:30,2023-01-05 05:34:09,M17274,Unknown Merchant,BUSAN,KR,5065,MAGNETIC,1308222001: Refund Transaction(International),98293.71,8476.26,PURCHASE,1
T00000366,C000315,2023-01-06 00:38:44,2023-01-06 00:39:11,M77292,Elecrtronics 886,CHICAGO,US,4816,0710 - Contactless - VSDC chip,1308172001: Cash Withdrawal Transaction(Domestic),37.65,37.65,WITHDRAWAL,1
T00000442,C000365,2023-01-07 04:41:19,2023-01-07 04:41:24,M46763,Transport 610,KARAGANDA,KZ,4111,0001 - E-commerce,1308162001: Prepaid Purchase Transaction(International),28658.59,1440.48,PURCHASE,1
T00000459,C000493,2023-01-07 08:43:20,2023-01-07 08:44:33,M86150,Pharmacy 96,KARAGANDA,KZ,4816,0006 - Cash,1308282001: Other Transaction(International),60.7,60.7,PURCHASE,1
T00000510,C000377,2023-01-08 05:39:12,2023-01-08 05:39:33,M30437,Unknown Merchant,TARAZ,KZ,5065,MAGNETIC,1308192001: Balance Inquiry Transaction(Domestic),290553.78,6507.86,PURCHASE,1
T00000530,C000013,2023-01-08 15:22:53,2023-01-08 15:23:46,M24866,Jewelry 275,ALMATY,KZ,4816,0000 - Unknown,1308192001: Balance Inquiry Transaction(Domestic),25.79,25.79,PURCHASE,1
T00000573,C000479,2023-01-09 08:25:10,2023-01-09 08:26:47,M52612,Cafe and restaraunts 200,LYON,FR,5812,ECOMMERCE,1308162001: Prepaid Purchase Transaction(International),7428.11,7300.71,PURCHASE,1
T00000574,C000027,2023-01-09 08:33:19,2023-01-09 08:35:02,M86660,Digital Service 684,SAO PAULO,BR,4816,0800 - Contactless - Magstripe,1308272001: Other Transaction(Domestic),53.18,53.18,REFUND,1
T00000626,C000441,2023-01-10 03:46:32,2023-01-10 03:46:37,M26654,Pharmacy 934,ASTANA,KZ,5912,0002 - Mail/Phone order,1308112001: Debit Purchase Transaction(Domestic),62108.04,3114.1,REFUND,1
T00000654,C000460,2023-01-10 12:08:41,2023-01-10 12:10:06,M44583,Hotel 299,SHYMKENT,KZ,7011,0120 - Keyin,1308122001: Debit Purchase Transaction(International),157413.71,157413.71,PURCHASE,1
T00000669,C000124,2023-01-10 18:37:29,2023-01-10 18:38:02,M46378,Unknown Merchant,SHYMKENT,KZ,5944,MAGNETIC,1308182001: Cash Withdrawal Transaction(International),254653.81,3844.96,PURCHASE,1
T00000673,C000327,2023-01-10 20:11:46,2023-01-10 20:13:18,M62666,Cafe and restaraunts 879,SHYMKENT,KZ,5812,0710 - Contactless - VSDC chip,1308112001: Debit Purchase Transaction(Domestic),33338.61,33338.61,PURCHASE,1
T00000679,C000319,2023-01-10 22:04:21,2023-01-10 22:05:33,M80211,ATM Withdrawal,TALDYKORGAN,KZ,4816,0008 - Not used,1308242001: Transfer Transaction(International),85.98,85.98,PURCHASE,1
T00000810,C000458,2023-01-12 19:08:16,2023-01-12 19:08:52,M63012,Unknown Merchant,SHYMKENT,KZ,5065,MAGNETIC,1308162001: Prepaid Purchase Transaction(International),168941.73,11163.69,PURCHASE,1
T00000834,C000271,2023-01-13 06:12:17,2023-01-13 06:14:01,M89920,Jewelry 266,GOTHENBURG,SE,5944,0730 - Contactless - VSDC chip,1308232001: Transfer Transaction(Domestic),109467.68,109467.68,PURCHASE,1
T00000848,C000302,2023-01-13 12:36:56,2023-01-13 12:37:34,M68985,Elecrtronics 482,TORONTO,CA,5065,ECOMMERCE,1308262001: Bill Payment Transaction(International),10453.14,10207.64,WITHDRAWAL,1
T00000957,C000397,2023-01-15 03:04:27,2023-01-15 03:04:43,M73998,Pharmacy 125,ALMATY,KZ,4816,0110 - Swipe,1308282001: Other Transaction(International),34.69,34.69,PURCHASE,1
T00000965,C000336,2023-01-15 05:13:02,2023-01-15 05:14:25,M83912,Hotel 254,LONDON,GB,4816,0000 - Unknown,1308272001: Other Transaction(Domestic),9.28,9.28,TRANSFER,1
T00000996,C000017,2023-01-15 17:56:28,2023-01-15 17:56:43,M11357,Digital Service 754,ASTANA,KZ,4816,0006 - Cash,1308282001: Other Transaction(International),135345.7,135345.7,PURCHASE,1
T00001090,C000286,2023-01-16 23:01:37,2023-01-16 23:03:01,M88306,Cafe and restaraunts 219,ROTTERDAM,NL,5812,ECOMMERCE,1308282001: Other Transaction(International),3513.28,3475.67,PURCHASE,1
T00001111,C000417,2023-01-17 05:28:30,2023-01-17 05:29:13,M46226,Transport 72,SEMEY,KZ,4816,0120 - Keyin,1308222001: Refund Transaction(International),29.9,29.9,PURCHASE,1
T00001188,C000443,2023-01-18 04:24:43,2023-01-18 04:24:48,M52952,Pharmacy 25,LYON,FR,5912,0110 - Swipe,1308222001: Refund Transaction(International),83382.63,965.99,PURCHASE,1
T00001230,C000199,2023-01-18 20:56:59,2023-01-18 20:58:36,M34681,Unknown Merchant,TARAZ,KZ,5065,MAGNETIC,1308182001: Cash Withdrawal Transaction(International),88175.35,2178.31,PURCHASE,1
T00001232,C000246,2023-01-18 21:16:15,2023-01-18 21:17:51,M67137,Unknown Merchant,ALMATY,KZ,5944,MAGNETIC,1308122001: Debit Purchase Transaction(International),163708.44,1180.4,WITHDRAWAL,1
T00001330,C000311,2023-01-20 03:11:46,2023-01-20 03:12:52,M78777,Cafe and restaraunts 967,SINGAPORE,SGP,5812,ECOMMERCE,1308192001: Balance Inquiry Transaction(Domestic),857.6,837.43,WITHDRAWAL,1
T00001356,C000274,2023-01-20 16:46:40,2023-01-20 16:48:07,M44308,Unknown Merchant,ATYRAU,KZ,5065,MAGNETIC,1308122001: Debit Purchase Transaction(International),103785.0,58880.34,PURCHASE,1
T00001361,C000435,2023-01-20 19:30:17,2023-01-20 19:31:06,M57214,Digital Service 655,SEMEY,KZ,4816,0710 - Contactless - VSDC chip,1308272001: Other Transaction(Domestic),10.59,10.59,PURCHASE,1
T00001384,C000350,2023-01-21 05:26:18,2023-01-21 05:27:42,M79178,Hotel 477,KOSTANAY,KZ,4816,0008 - Not used,1308152001: Prepaid Purchase Transaction(Domestic),40.27,40.27,PURCHASE,1
T00001485,C000370,2023-01-22 21:25:21,2023-01-22 21:26:49,M29681,Elecrtronics 108,TALDYKORGAN,KZ,4816,1000 - Credential on file,1308262001: Bill Payment Transaction(International),35.73,35.73,REFUND,1
T00001491,C000019,2023-01-23 00:11:12,2023-01-23 00:11:17,M62227,Hotel 77,SAINT PETERSBURG,RU,7011,0710 - Contactless - VSDC chip,1308162001: Prepaid Purchase Transaction(International),125772.88,49665.74,PURCHASE,1
T00001648,C000390,2023-01-25 06:44:01,2023-01-25 06:44:49,M55939,Hotel 576,SHYMKENT,KZ,7011,0003 - Recurring,1308192001: Balance Inquiry Transaction(Domestic),50608.19,50608.19,PURCHASE,1
T00001665,C000305,2023-01-25 14:02:13,2023-01-25 14:04:03,M92001,Digital Service 661,SAMARKAND,UZ,4816,0006 - Cash,1308182001: Cash Withdrawal Transaction(International),69285.78,69285.78,PURCHASE,1
T00001730,C000099,2023-01-26 09:01:16,2023-01-26 09:02:08,M31373,Hotel 694,ROME,IT,7011,ECOMMERCE,1308232001: Transfer Transaction(Domestic),70484.15,70059.32,PURCHASE,1
T00001770,C000425,2023-01-27 01:41:36,2023-01-27 01:43:29,M86255,ATM Withdrawal,ATYRAU,KZ,6011,0720 - Contactless - VSDC magstripe,1308172001: Cash Withdrawal Transaction(Domestic),43055.28,43055.28,PURCHASE,1
T00001777,C000079,2023-01-27 04:16:04,2023-01-27 04:16:09,M50667,Hotel 390,TARAZ,KZ,7011,0002 - Mail/Phone order,1308152001: Prepaid Purchase Transaction(Domestic),134217.71,97.34,PURCHASE,1
T00001847,C000331,2023-01-28 03:40:20,2023-01-28 03:40:25,M16332,Digital Service 548,SHYMKENT,KZ,4816,0001 - E-commerce,1308212001: Refund Transaction(Domestic),188880.85,2567.33,PURCHASE,1
T00001872,C000259,2023-01-28 12:55:19,2023-01-28 12:56:10,M14815,Pharmacy 34,ALMATY,KZ,4816,0004 - Installment,1308122001: Debit Purchase Transaction(International),4.09,4.09,PURCHASE,1
T00001917,C000356,2023-01-29 08:27:44,2023-01-29 08:28:56,M18833,ATM Withdrawal,MARSEILLE,FR,6011,ECOMMERCE,1308262001: Bill Payment Transaction(International),44433.11,44299.12,REFUND,1
T00001930,C000193,2023-01-29 12:44:20,2023-01-29 12:45:08,M62309,Hotel 202,ROTTERDAM,NL,4816,0510 - Contactless - Magstripe,1308262001: Bill Payment Transaction(International),92.17,92.17,PURCHASE,1
T00001965,C000299,2023-01-30 00:57:08,2023-01-30 00:58:46,M69691,Cafe and restaraunts 485,ALMATY,KZ,5812,0110 - Swipe,1308182001: Cash Withdrawal Transaction(International),59661.98,59661.98,PURCHASE,1
T00001997,C000485,2023-01-30 14:15:58,2023-01-30 14:17:56,M55022,Digital Service 795,MONTREAL,CA,4816,0730 - Contactless - VSDC chip,1308222001: Refund Transaction(International),81240.06,81240.06,PURCHASE,1
T00002021,C000156,2023-01-30 19:37:14,2023-01-30 19:37:43,M48909,Unknown Merchant,ANKARA,TR,5944,MAGNETIC,1308132001: Credit Purchase Transaction(Domestic),102677.52,4269.8,PURCHASE,1
T00002129,C000264,2023-02-01 05:23:36,2023-02-01 05:24:36,M98112,Elecrtronics 256,ASTANA,KZ,4816,0710 - Contactless - VSDC chip,1308112001: Debit Purchase Transaction(Domestic),20.34,20.34,PURCHASE,1
T00002167,C000136,2023-02-01 16:13:08,2023-02-01 16:15:04,M90513,Cafe and restaraunts 236,BANGALORE,IN,4816,0008 - Not used,1308182001: Cash Withdrawal Transaction(International),59.08,59.08,PURCHASE,1
T00002222,C000367,2023-02-02 10:00:40,2023-02-02 10:02:24,M41568,Cafe and restaraunts 282,AKTAU,KZ,5812,0110 - Swipe,1308112001: Debit Purchase Transaction(Domestic),48905.33,48905.33,PURCHASE,1
T00002333,C000287,2023-02-04 03:09:11,2023-02-04 03:10:24,M46307,Supermarket 349,MONTREAL,CA,5411,0003 - Recurring,1308222001: Refund Transaction(International),130515.5,130515.5,WITHDRAWAL,1
T00002394,C000050,2023-02-05 03:23:33,2023-02-05 03:23:38,M23346,Jewelry 414,TALDYKORGAN,KZ,5944,0730 - Contactless - VSDC chip,1308172001: Cash Withdrawal Transaction(Domestic),103102.15,35368.48,PURCHASE,1
T00002442,C000226,2023-02-05 19:21:32,2023-02-05 19:22:48,M72505,Hotel 813,SEMEY,KZ,4816,0000 - Unknown,1308192001: Balance Inquiry Transaction(Domestic),2.83,2.83,TRANSFER,1
T00002452,C000173,2023-02-05 21:26:30,2023-02-05 21:27:38,M17195,ATM Withdrawal,AKTAU,KZ,6011,0800 - Contactless - Magstripe,1308222001: Refund Transaction(International),60570.15,60570.15,PURCHASE,1
T00002463,C000069,2023-02-06 02:10:53,2023-02-06 02:11:16,M31172,Transport 602,PAVLODAR,KZ,4816,1000 - Credential on file,1308242001: Transfer Transaction(International),50.74,50.74,PURCHASE,1
T00002510,C000434,2023-02-06 19:40:29,2023-02-06 19:41:33,M82589,Unknown Merchant,KOSTANAY,KZ,5065,MAGNETIC,1308112001: Debit Purchase Transaction(Domestic),292439.48,99.78,PURCHASE,1
T00002529,C000359,2023-02-07 02:07:49,2023-02-07 02:07:54,M87347,Hotel 838,SAO PAULO,BR,7011,1000 - Credential on file,1308202001: Balance Inquiry Transaction(International),20989.23,37041.14,PURCHASE,1
T00002566,C000399,2023-02-07 16:20:27,2023-02-07 16:21:32,M32183,Supermarket 456,KARAGANDA,KZ,4816,0720 - Contactless - VSDC magstripe,1308132001: Credit Purchase Transaction(Domestic),95.15,95.15,PURCHASE,1
T00002589,C000414,2023-02-08 01:37:43,2023-02-08 01:37:48,M32735,Jewelry 963,BANGALORE,IN,5944,0002 - Mail/Phone order,1308182001: Cash Withdrawal Transaction(International),92051.41,93592.63,PURCHASE,1
T00002612,C000337,2023-02-08 08:29:08,2023-02-08 08:30:49,M15293,Hotel 374,RIO DE JANEIRO,BR,7011,ECOMMERCE,1308242001: Transfer Transaction(International),40022.39,39226.8,PURCHASE,1
T00002631,C000216,2023-02-08 15:11:15,2023-02-08 15:11:54,M15406,Jewelry 686,TALDYKORGAN,KZ,4816,0800 - Contactless - Magstripe,1308212001: Refund Transaction(Domestic),18.07,18.07,PURCHASE,1
T00002642,C000488,2023-02-08 18:15:33,2023-02-08 18:17:04,M60899,Supermarket 745,KOSTANAY,KZ,4816,0730 - Contactless - VSDC chip,1308172001: Cash Withdrawal Transaction(Domestic),58.54,58.54,PURCHASE,1
