TRX_ID,MEMBER_NO,TRANSACTION_DATE,AUTHORIZATION_DATE,MERCHANT_NO,MERCHANT_NAME,CITY_NAME,NATIONAL_CODE,MCC,POS_MODE,PRODUCT_NAME,SETTLEMENT_AMOUNT,SALES_AMOUNT,TRX_TYPE,IS_FRAUD
T00000000,P001046,2026-06-09 00:00:55,2026-06-09 00:00:58,3312253591,KFC,ALMATY,KZ,5812,0710 - Contactless - VSDC chip,1308132001: Credit Purchase Transaction(Domestic),21959.34,21959.34,POS,0
T00000001,C001342,2026-06-09 00:06:11,2026-06-09 00:06:14,2400594996,FRESH_MARKET,KARAGANDA,KZ,5499,0110 - Swipe,1308132001: Credit Purchase Transaction(Domestic),6301.98,6301.98,POS,0
T00000002,C001147,2026-06-09 00:06:56,2026-06-09 00:06:57,3208588028,YANDEX TAXI,KARAGANDA,KZ,4121,0001 - E-commerce,1308132001: Credit Purchase Transaction(Domestic),2960.79,2960.79,WWW,0
T00000003,P000496,2026-06-09 00:06:58,2026-06-09 00:07:01,3892884679,GALMART,ATYRAU,KZ,5411,0003 - Recurring,1308112001: Debit Purchase Transaction(Domestic),8210.39,8210.39,WWW,0
T00000004,P000005,2026-06-09 00:12:13,2026-06-09 00:12:16,1747950835,BURGER_KING,ALMATY,KZ,5814,0110 - Swipe,1308112001: Debit Purchase Transaction(Domestic),11800.9,11800.9,POS,0
T00000005,P001769,2026-06-09 00:18:13,2026-06-09 00:18:16,8204023446,FIX_PRICE,ATYRAU,KZ,5331,0110 - Swipe,1308112001: Debit Purchase Transaction(Domestic),1628.56,1628.56,POS,0
T00000006,C000833,2026-06-09 00:18:33,2026-06-09 00:18:34,7144640832,WAYFAIR,SHYMKENT,KZ,5331,0730 - Contactless - VSDC chip,1308132001: Credit Purchase Transaction(Domestic),25160.15,25160.15,POS,0
T00000007,P001095,2026-06-09 00:22:40,2026-06-09 00:22:43,5868824748,ATM_SBERBANK_KZ,AKTAU,KZ,6011,0006 - Cash,1308172001: Cash Withdrawal Transaction(Domestic),33000.0,33000.0,ATM,0
T00000008,C001418,2026-06-09 00:23:13,2026-06-09 00:23:14,5938115065,HIGH_RISK_MERCHANT,ISTANBUL,TR,6012,0001 - E-commerce,1308142001: Credit Purchase Transaction(International),458821.71,458821.71,WWW,1
T00000009,C000848,2026-06-09 00:23:22,2026-06-09 00:23:25,3684447339,GOOGLE_PLAY,AKTAU,KZ,5816,0002 - Mail/Phone order,1308132001: Credit Purchase Transaction(Domestic),1130.98,1130.98,WWW,0
T00000010,C001698,2026-06-09 00:29:32,2026-06-09 00:29:33,4413130243,MAGNUM_VIP,KARAGANDA,KZ,5411,0001 - E-commerce,1308112001: Debit Purchase Transaction(Domestic),94918.26,94918.26,WWW,1
T00000011,C000558,2026-06-09 00:32:46,2026-06-09 00:32:49,6343358545,OLIMP_KZ,AKTAU,KZ,5499,0110 - Swipe,1308132001: Credit Purchase Transaction(Domestic),11072.14,11072.14,POS,0
T00000012,C001753,2026-06-09 00:35:37,2026-06-09 00:35:40,7297761653,BURGER_KING,ALMATY,KZ,5814,0710 - Contactless - VSDC chip,1308112001: Debit Purchase Transaction(Domestic),13227.83,13227.83,POS,0
T00000013,P001975,2026-06-09 00:39:30,2026-06-09 00:39:33,8076661389,CITYMOBIL,SHYMKENT,KZ,4121,0001 - E-commerce,1308132001: Credit Purchase Transaction(Domestic),27927.28,27927.28,WWW,0
T00000014,C001235,2026-06-09 00:39:45,2026-06-09 00:39:46,7582258987,GALMART,KARAGANDA,KZ,5411,0120 - Keyin,1308112001: Debit Purchase Transaction(Domestic),6885.01,6885.01,POS,0
T00000015,P000293,2026-06-09 00:52:04,2026-06-09 00:52:06,2773938216,WILD BERRIES,SHYMKENT,KZ,5411,0120 - Keyin,1308132001: Credit Purchase Transaction(Domestic),5610.77,5610.77,POS,0
T00000016,P000954,2026-06-09 00:56:21,2026-06-09 00:56:22,3009694911,APTEKA_EVROPA,LOS ANGELES,US,5912,0730 - Contactless - VSDC chip,1308122001: Debit Purchase Transaction(International),63604.71,63604.71,POS,0
T00000017,C000280,2026-06-09 00:56:48,2026-06-09 00:56:50,8713894011,SMALL,ALMATY,KZ,5411,0730 - Contactless - VSDC chip,1308112001: Debit Purchase Transaction(Domestic),2805.29,2805.29,POS,0
T00000018,P000516,2026-06-09 01:04:11,2026-06-09 01:04:14,9226667183,DODO_PIZZA,LOS ANGELES,US,5814,0730 - Contactless - VSDC chip,1308122001: Debit Purchase Transaction(International),5025.23,5025.23,POS,0
T00000019,P001704,2026-06-09 01:13:04,2026-06-09 01:13:06,4284514748,MAGNUM,ALMATY,KZ,5499,0730 - Contactless - VSDC chip,1308112001: Debit Purchase Transaction(Domestic),2819.96,2819.96,POS,0
T00000020,C001718,2026-06-09 01:16:19,2026-06-09 01:16:21,2687328834,KFC,KARAGANDA,KZ,5814,0002 - Mail/Phone order,1308132001: Credit Purchase Transaction(Domestic),15648.27,15648.27,WWW,0
T00000021,C000414,2026-06-09 01:18:36,2026-06-09 01:18:37,8873342128,WILD BERRIES,ATYRAU,KZ,5411,0002 - Mail/Phone order,1308112001: Debit Purchase Transaction(Domestic),10108.35,10108.35,WWW,0
T00000022,P000564,2026-06-09 01:18:57,2026-06-09 01:19:00,3948791256,FRESH_MARKET,KARAGANDA,KZ,5499,0120 - Keyin,1308132001: Credit Purchase Transaction(Domestic),1311.22,1311.22,POS,0
T00000023,C000886,2026-06-09 01:21:00,2026-06-09 01:21:01,1767460088,BINANCE,ATYRAU,KZ,6051,0001 - E-commerce,1308112001: Debit Purchase Transaction(Domestic),9017.81,9017.81,WWW,0
T00000024,P001856,2026-06-09 01:21:00,2026-06-09 01:21:01,6606999911,MAGNUM,ASTANA,KZ,5411,0001 - E-commerce,1308112001: Debit Purchase Transaction(Domestic),2436.43,2436.43,WWW,0
