TRX_ID,MEMBER_NO,TRANSACTION_DATE,AUTHORIZATION_DATE,MERCHANT_NO,MERCHANT_NAME,CITY_NAME,NATIONAL_CODE,MCC,POS_MODE,PRODUCT_NAME,SETTLEMENT_AMOUNT,SALES_AMOUNT,TRX_TYPE
T00000000,C001480,2024-01-01 00:00:01,2024-01-01 00:00:40,M60573,Subscription 91,SEMEY,KZ,5968,0005 - Preauthorized,1308202001: Balance Inquiry Transaction(International),46537.75,47298.9,POS
T00000001,C000291,2024-01-01 00:00:05,2024-01-01 00:01:50,M92478,Pharmacy 183,TASHKENT,UZ,5912,0710 - Contactless - VSDC chip,1308162001: Prepaid Purchase Transaction(International),1908.51,1895.77,POS
T00000002,C000992,2024-01-01 00:00:10,2024-01-01 00:00:34,M69764,P2P Transfer 597,RIO DE JANEIRO,BR,6012,1000 - Credential on file,1308262001: Bill Payment Transaction(International),340.91,341.8,WWW
T00000003,C001346,2024-01-01 00:00:24,2024-01-01 00:01:58,M46073,Money Transfer 109,SEMEY,KZ,4829,0110 - Swipe,1308252001: Bill Payment Transaction(Domestic),270147.35,270715.86,ATM
T00000004,C000846,2024-01-01 00:00:49,2024-01-01 00:02:46,M74034,Transport 714,CAIRO,EG,4111,0510 - Contactless - Magstripe,1308162001: Prepaid Purchase Transaction(International),1201.57,1208.37,POS
T00000005,C001357,2024-01-01 00:01:16,2024-01-01 00:02:39,M52242,Jewelry 273,KUALA LUMPUR,MY,5944,0002 - Mail/Phone order,1308132001: Credit Purchase Transaction(Domestic),72289.46,72141.85,POS
T00000006,C001762,2024-01-01 00:01:37,2024-01-01 00:02:28,M81526,Currency Exchange 445,KARAGANDA,KZ,6051,0730 - Contactless - VSDC chip,1308212001: Refund Transaction(Domestic),225684.75,227736.94,POS
T00000007,C000861,2024-01-01 00:01:45,2024-01-01 00:03:38,M56610,Wallet Transfer 62,WARSAW,PL,6538,0004 - Installment,1308232001: Transfer Transaction(Domestic),276370.0,276216.07,POS
T00000008,C001979,2024-01-01 00:01:57,2024-01-01 00:02:53,M10615,Wallet Transfer 411,PAVLODAR,KZ,6536,0007 - Other,1308252001: Bill Payment Transaction(Domestic),147578.71,148298.94,POS
T00000009,C001002,2024-01-01 00:01:57,2024-01-01 00:02:15,M49153,Lottery 784,SEMEY,KZ,7800,0110 - Swipe,1308192001: Balance Inquiry Transaction(Domestic),50936.65,49806.73,POS
T00000010,C000878,2024-01-01 00:01:59,2024-01-01 00:03:57,M82309,Prepaid Load 413,TARAZ,KZ,6540,0007 - Other,1308212001: Refund Transaction(Domestic),115986.19,114596.62,POS
T00000011,C000583,2024-01-01 00:02:09,2024-01-01 00:03:20,M90960,Adult Content 167,KARAGANDA,KZ,5967,0800 - Contactless - Magstripe,1308172001: Cash Withdrawal Transaction(Domestic),33632.0,33641.09,WWW
T00000012,C001961,2024-01-01 00:02:17,2024-01-01 00:03:26,M21000,Digital Service 704,ALMATY,KZ,4816,0002 - Mail/Phone order,1308152001: Prepaid Purchase Transaction(Domestic),10315.03,10480.9,POS
T00000013,C000388,2024-01-01 00:02:21,2024-01-01 00:02:37,M99961,P2P Transfer 774,DELHI,IN,6012,0000 - Unknown,1308172001: Cash Withdrawal Transaction(Domestic),98.3,98.16,POS
T00000014,C000701,2024-01-01 00:02:26,2024-01-01 00:03:18,M63251,P2P Transfer 220,KARAGANDA,KZ,6012,0005 - Preauthorized,1308262001: Bill Payment Transaction(International),552871.67,555663.28,POS
T00000015,C001558,2024-01-01 00:02:34,2024-01-01 00:04:05,M14093,Securities 600,MANCHESTER,GB,6211,0800 - Contactless - Magstripe,1308112001: Debit Purchase Transaction(Domestic),365495.17,364224.92,POS
T00000016,C000921,2024-01-01 00:03:02,2024-01-01 00:03:15,M52536,Wallet Transfer 893,ASTANA,KZ,6538,0005 - Preauthorized,1308112001: Debit Purchase Transaction(Domestic),12570.97,12355.15,POS
T00000017,C000726,2024-01-01 00:03:12,2024-01-01 00:05:01,M35119,Racing 967,BERLIN,DE,7802,0110 - Swipe,1308152001: Prepaid Purchase Transaction(Domestic),163673.08,164949.28,POS
T00000018,C001809,2024-01-01 00:03:12,2024-01-01 00:04:24,M71068,Dating Service 179,PARIS,FR,7273,0510 - Contactless - Magstripe,1308262001: Bill Payment Transaction(International),21946.36,21402.21,POS
T00000019,C000484,2024-01-01 00:03:23,2024-01-01 00:04:15,M18873,Digital Service 815,TALDYKORGAN,KZ,4816,0006 - Cash,1308222001: Refund Transaction(International),5095.53,5194.04,WWW
T00000020,C000527,2024-01-01 00:03:56,2024-01-01 00:04:26,M53586,Online store 494,AKTAU,KZ,5999,0000 - Unknown,1308192001: Balance Inquiry Transaction(Domestic),17569.4,17765.64,POS
T00000021,C000521,2024-01-01 00:04:00,2024-01-01 00:04:22,M44761,Racing 841,AKTAU,KZ,7802,0006 - Cash,1308172001: Cash Withdrawal Transaction(Domestic),100705.47,103224.27,WWW
T00000022,C000789,2024-01-01 00:04:10,2024-01-01 00:04:48,M17305,Digital Service 325,BRASILIA,BR,4816,0002 - Mail/Phone order,1308212001: Refund Transaction(Domestic),4126.78,4115.39,POS
T00000023,C001523,2024-01-01 00:04:14,2024-01-01 00:05:18,M11568,Pharmacy 907,SHYMKENT,KZ,5912,0710 - Contactless - VSDC chip,1308192001: Balance Inquiry Transaction(Domestic),2898.02,2964.44,ATM
T00000024,C001730,2024-01-01 00:04:27,2024-01-01 00:06:15,M17899,Casino 905,TARAZ,KZ,7801,0110 - Swipe,1308252001: Bill Payment Transaction(Domestic),111216.58,111762.25,ATM
